index,COMM_CODE,CLASS,CLASS_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CREATED_DT,MODIFIED_DT,RE_VALUE,RE_AREA,RE_UNIT_PRICE,NR_VALUE,NR_AREA,NR_UNIT_PRICE,FL_VALUE,FL_AREA,FL_UNIT_PRICE,attaction,commu_center,court,elementary,hospital,juniorhigh,library,phs_clinic,seniorhigh,social_dev_ctr,visitor_info,MALE,FEMALE,English,Eng_not_spk_oft_home,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,total_crime_counts,total_disorder_counts
127,EPK,Residential,1,"ELBOW PARK",CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/03/08,1527421.677419355,681.170564516129,2242.3483294589546,1489506.181818182,8206.907272727272,181.4942136324635,NULL,NULL,NULL,0,1,0,2,0,0,0,0,0,0,0,"1,318.00","1,376.00",3370,65,2694,Mandarin,15,0,Cantonese,10,0,Japanese,10,0,73,105
129,FLN,Residential,1,"FOREST LAWN",EAST,ESTABLISHED,1950s,2016/12/21,2023/03/08,313512.2033898305,539.0120677966102,581.6422713343231,2049284.7682119205,4203.662251655629,487.4998621511045,NULL,NULL,NULL,0,1,0,3,0,1,1,1,2,2,0,"1,901.00","2,059.00",5460,1360,3960,Vietnamese,250,0.03,Arabic,205,0.03,"Tagalog (Pilipino, Filipino)",185,0.02,534,2169
132,HOU,Residential,1,"HOUNSFIELD HEIGHTS/BRIAR HILL",CENTRE,ESTABLISHED,1950s,2016/12/21,2023/04/04,1097745.0218978105,646.8277372262773,1697.121132444248,2793513.698630137,10741.819178082193,260.0596465382767,NULL,NULL,NULL,0,1,0,1,0,0,1,1,0,0,0,605,420,2115,185,1025,Mandarin,50,0.02,Cantonese,30,0.01,Portuguese,25,0.01,180,466
143,GAW,Residential,1,"GARRISON WOODS",CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/04/13,722471.3584288053,362.9055646481178,1990.797135142668,5619277.777777778,10797.91111111111,520.404152243438,NULL,NULL,NULL,1,0,0,2,0,2,0,0,2,0,0,"3,114.00","3,113.00",2570,125,6227,Spanish,25,0.01,0,0,0,0,0,0,20,5
147,HIF,Industrial,2,HIGHFIELD,CENTRE,NULL,EMPLOYMENT,2016/12/21,2023/04/17,NULL,NULL,NULL,2451013.4524421594,8875.013881748071,276.1700978837674,NULL,NULL,NULL,1,0,0,0,0,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,151,149
161,ING,Residential,1,INGLEWOOD,CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/06/01,593611.1111111111,424.7334455667789,1397.608587943848,1482258.5714285714,8473.395555555557,174.9308835767419,NULL,NULL,NULL,2,1,0,2,0,1,0,0,1,0,0,"1,205.00","1,250.00",3620,115,2455,Spanish,20,0.01,Mandarin,15,0,Urdu,15,0,172,552
175,DDG,Residential,1,DOUGLASDALE/GLEN,SOUTHEAST,ESTABLISHED,1980s/1990s,2016/12/21,2023/06/01,510960.1939270222,522.1736922684358,978.5253479686046,5601688.582677165,31272.80944881889,179.12329213161655,NULL,NULL,NULL,0,0,0,2,0,1,1,0,0,0,0,"2,941.00","2,883.00",10790,1400,0,Spanish,255,0.02,"Tagalog (Pilipino, Filipino)",170,0.01,Cantonese,120,0.01,184,255
197,FHT,Residential,1,"FOREST HEIGHTS",EAST,ESTABLISHED,1960s/1970s,2016/12/21,2023/07/24,298137.6716808372,472.1399607586658,631.4603644261964,1478611.0638297873,5343.142553191489,276.7306035933113,NULL,NULL,NULL,0,1,0,1,0,0,0,0,0,0,0,"4,244.00","3,559.00",4000,1670,0,"Tagalog (Pilipino, Filipino)",485,0.08,Vietnamese,265,0.04,Arabic,170,0.03,237,779
198,DOV,Residential,1,DOVER,EAST,ESTABLISHED,1960s/1970s,2016/12/21,2023/07/24,304544.9890988372,430.1385174418605,708.0160849347812,1011818.0188679246,17686.974528301886,57.2069585586195,NULL,NULL,NULL,0,1,0,6,0,2,0,0,0,0,0,"1,547.00","1,648.00",8775,1380,0,Vietnamese,325,0.03,"Tagalog (Pilipino, Filipino)",185,0.02,Arabic,145,0.01,366,1157
201,ERI,Residential,1,"ERIN WOODS",EAST,ESTABLISHED,1980s/1990s,2016/12/21,2023/07/24,306714.3216080402,351.81743718592963,871.7996585426401,1102058.085106383,5561.934042553191,198.14296190403692,NULL,NULL,NULL,0,1,0,1,0,0,0,0,0,0,0,"1,365.00","1,397.00",5120,1470,0,Vietnamese,575,0.08,"Tagalog (Pilipino, Filipino)",310,0.04,Dinka,85,0.01,215,426
207,KEL,Residential,1,"KELVIN GROVE",SOUTH,ESTABLISHED,1960s/1970s,2016/12/21,2023/07/24,873858.5434173669,732.4378151260504,1193.0822321987546,6195636.363636363,11510.1,538.2782394276646,NULL,NULL,NULL,0,1,0,3,0,1,0,0,1,0,0,"3,125.00","3,283.00",1700,225,0,Spanish,45,0.02,Mandarin,35,0.02,"Persian (Farsi)",20,0.01,92,163
