COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
MON,Residential,1113.426585,0,1,0.000258065,0,0,0,0.000516129,1,927,"1,130.00",3505,370,0.904516129,3875,Spanish,55,0.01,"Tagalog (Pilipino, Filipino)",55,0.01,Vietnamese,30,0.01,0.063225806,0.168
PKD,Residential,1873.973814,0,1,0.000558659,0,0,0,0.001675978,0,"2,255.00","1,845.00",1740,50,0.972067039,1790,Mandarin,10,0.01,Spanish,10,0.01,0,0,0,0.044692737,0.070949721
MOP,Residential,1655.413068,0,1,0.000187617,0,0,0,0.000562852,1,"4,072.00","4,312.00",4975,355,0.933395872,5330,Cantonese,70,0.01,Spanish,60,0.01,Mandarin,30,0.01,0.059474672,0.084990619
MAL,Residential,894.4258193,0,1,0.00017452,0,0,0,0.0008726,0,309,286,5170,560,0.902268761,5730,Somali,100,0.02,"Tagalog (Pilipino, Filipino)",95,0.02,Cantonese,55,0.01,0.039267016,0.110645724
REN,Residential,1357.895419,1,1,0.000156863,0,0,0,0.000784314,0,"9,775.00","10,061.00",5970,405,0.936470588,6375,Tigrigna,60,0.01,Cantonese,35,0.01,Spanish,35,0.01,0.048313725,0.079372549
RIC,Residential,1720.812221,0,1,0.00021645,0,0,0,0.001082251,1,817,800,4205,415,0.91017316,4620,Spanish,85,0.02,Persian (Farsi),65,0.01,Cantonese,60,0.01,0.043939394,0.05974026
PAL,Residential,853.8234161,0,1,0.00030349,0,0,0,0.00060698,0,"2,301.00","1,574.00",2790,505,0.846737481,3295,Mandarin,140,0.04,Spanish,55,0.02,Korean,35,0.01,0.024582701,0.028224583
OGD,Residential,684.8394162,0,1,0.000121212,0,0,0,0.000606061,0,"5,730.00","5,748.00",7800,450,0.945454545,8250,"Tagalog (Pilipino, Filipino)",110,0.01,Spanish,40,0,Arabic,35,0,0.028363636,0.083272727
RIV,Residential,961.6782273,0,1,0.000109111,0,0,0,0.000327332,0,"5,177.00","5,174.00",8140,1025,0.888161484,9165,"Tagalog (Pilipino, Filipino)",340,0.04,Vietnamese,140,0.01,Spanish,90,0.01,0.014075286,0.029787234
RAM,Residential,1336.567577,0,1,0.000496278,0,0,0,0.001488834,0,"2,667.00","2,641.00",1925,90,0.955334988,2015,Dinka,35,0.02,Spanish,20,0.01,Italian,20,0.01,0.042183623,0.1191067
